daily_travel_time,vehicle_ownership,location_type,nearby_industries,green_space_access,home_air_quality,work_location_type,smoker_in_household,noise_pollution_level,use_of_air_purifiers,awareness_level,years_in_location,pollution_exposure_score,risk_category
40.5,,Semi-Urban,1.0,Low,47.5,Remote,False,52.7,True,Medium,14.0,36.33,Medium
46.4,Two-wheeler,Urban,0.0,Low,54.4,Fieldwork,False,44.7,False,Low,29.0,47.15,Medium
16.5,Two-wheeler,Urban,1.0,High,49.5,Office,False,37.6,False,Low,20.0,37.58,Medium
34.1,None,Rural,2.0,Low,33.7,Office,False,44.9,True,Medium,37.0,39.29,Medium
47.2,Car,Urban,3.0,Low,68.6,Remote,True,25.6,True,,18.0,56.01,Medium
22.0,Public Only,Urban,1.0,High,45.0,Remote,False,37.9,False,Low,22.0,38.91,Medium
52.5,Car,Semi-Urban,4.0,Moderate,87.2,Remote,True,25.3,False,High,30.0,54.64,Medium
33.0,Car,Urban,1.0,Moderate,62.5,Fieldwork,True,50.2,True,High,12.0,41.75,Medium
39.2,,Semi-Urban,3.0,Low,37.5,Remote,False,42.2,False,High,34.0,61.86,Medium
33.0,None,Semi-Urban,1.0,Low,70.0,Fieldwork,True,39.1,False,High,26.0,44.24,Medium
82.0,Two-wheeler,Rural,2.0,Moderate,60.5,Remote,False,50.3,False,Medium,36.0,34.3,Medium
44.7,Car,Semi-Urban,1.0,Moderate,64.4,Factory,False,0.5,True,,,41.0,Medium
23.8,None,Urban,3.0,High,52.5,Fieldwork,False,43.7,False,High,18.0,41.19,Medium
,Public Only,Urban,1.0,Moderate,46.0,Remote,True,53.9,True,Medium,25.0,42.01,Medium
20.6,Two-wheeler,Semi-Urban,3.0,Low,38.1,Remote,False,69.5,False,High,5.0,48.97,Medium
49.2,Public Only,Urban,0.0,Moderate,40.8,Office,False,62.2,False,High,,40.19,Medium
5.8,,Rural,0.0,Low,39.5,Factory,False,75.4,False,,37.0,56.47,Medium
18.4,Two-wheeler,Semi-Urban,3.0,Low,54.6,Office,False,21.3,False,Low,12.0,40.94,Medium
48.9,Car,Urban,2.0,Moderate,59.2,Remote,True,70.9,True,High,39.0,51.16,Medium
59.8,Two-wheeler,Rural,2.0,Moderate,36.8,Remote,False,56.0,False,Medium,22.0,36.74,Medium
48.4,Car,Urban,4.0,Low,73.5,Remote,False,39.3,False,High,11.0,59.42,Medium
42.7,Public Only,Urban,1.0,High,62.1,Fieldwork,False,52.2,False,Medium,10.0,34.24,Medium
39.0,Public Only,Semi-Urban,3.0,Moderate,96.4,Remote,False,100.0,False,Low,36.0,44.42,Medium
15.4,,Rural,,Low,53.9,Fieldwork,False,52.9,False,,38.0,47.7,Medium
30.6,Two-wheeler,Semi-Urban,,Low,93.5,Remote,False,51.6,True,High,18.0,48.61,Medium
35.8,Public Only,Urban,2.0,,71.2,Factory,False,67.2,False,Medium,11.0,43.85,Medium
66.1,Two-wheeler,Urban,1.0,High,30.6,Factory,True,45.6,True,Medium,16.0,50.13,Medium
51.9,Two-wheeler,Urban,1.0,,42.1,,True,34.2,False,Medium,25.0,51.86,Medium
9.7,Public Only,Urban,1.0,Moderate,64.8,Factory,True,78.1,False,Medium,3.0,37.8,Medium
51.5,,Urban,4.0,Moderate,33.8,Factory,True,21.2,False,Low,2.0,67.25,Medium
37.3,,Semi-Urban,2.0,High,46.6,Factory,False,50.9,False,Low,27.0,51.4,Medium
31.5,Two-wheeler,Rural,4.0,Low,36.1,Office,True,48.7,False,High,11.0,51.97,Medium
,Public Only,Urban,4.0,High,92.1,Office,False,33.3,True,Medium,6.0,37.89,Medium
65.6,None,Urban,0.0,High,76.5,Factory,False,23.6,False,Low,28.0,43.29,Medium
,Car,Rural,1.0,Moderate,54.9,Remote,False,47.5,False,High,3.0,29.61,Low
28.2,Two-wheeler,Semi-Urban,1.0,Low,82.7,Remote,False,57.3,False,Medium,15.0,29.89,Low
38.8,None,Rural,3.0,Moderate,78.9,Remote,False,71.0,True,Medium,6.0,25.73,Low
51.6,Public Only,Urban,2.0,Low,79.7,Factory,False,34.6,False,Medium,15.0,51.82,Medium
64.5,Public Only,Urban,4.0,Low,51.6,Factory,False,34.3,False,Medium,36.0,66.72,Medium
35.4,Two-wheeler,Semi-Urban,1.0,High,55.4,Remote,True,80.5,False,,17.0,31.52,Medium
41.3,Public Only,Semi-Urban,,Moderate,43.6,Office,False,40.6,False,Low,30.0,39.32,Medium
,Car,Urban,4.0,Moderate,58.3,Office,True,43.3,True,Medium,40.0,51.15,Medium
21.1,Car,Semi-Urban,5.0,Low,47.8,Office,False,74.4,False,High,6.0,67.0,Medium
61.3,None,Urban,2.0,Moderate,43.9,Office,False,17.1,True,Medium,11.0,39.49,Medium
72.1,,Urban,2.0,Moderate,77.0,Fieldwork,False,26.0,False,Medium,37.0,48.71,Medium
43.6,Car,Semi-Urban,2.0,Low,70.1,Fieldwork,True,77.8,False,Medium,8.0,60.69,Medium
65.1,Two-wheeler,Urban,1.0,Moderate,46.8,Remote,False,38.0,False,Medium,,41.23,Medium
52.2,Public Only,Semi-Urban,4.0,Low,74.2,Fieldwork,True,39.3,False,High,1.0,56.54,Medium
32.1,None,Urban,2.0,Moderate,64.6,Fieldwork,False,41.0,False,High,1.0,35.2,Medium
52.2,Two-wheeler,Urban,1.0,High,55.3,,False,43.6,False,,39.0,33.98,Medium
75.8,Two-wheeler,Urban,3.0,Low,83.9,Fieldwork,False,40.8,False,Medium,30.0,61.44,Medium
44.3,Two-wheeler,Urban,1.0,Low,64.6,,False,52.8,False,High,20.0,46.96,Medium
76.3,Car,Urban,1.0,Moderate,86.7,Factory,False,75.1,False,High,23.0,57.62,Medium
0.0,Two-wheeler,Semi-Urban,3.0,Moderate,68.5,Factory,False,33.9,False,High,31.0,36.6,Medium
61.4,Car,Rural,,Moderate,69.8,Office,False,38.2,False,Low,23.0,37.21,Medium
46.7,,Urban,0.0,Moderate,43.9,Factory,False,50.6,False,Medium,5.0,40.29,Medium
39.0,Car,Urban,1.0,Low,51.6,Factory,False,81.4,False,High,6.0,56.86,Medium
46.8,,Rural,4.0,Moderate,81.9,Factory,True,44.1,True,Medium,36.0,45.81,Medium
5.2,Car,Urban,2.0,Low,77.4,Factory,False,32.0,False,High,17.0,52.82,Medium
40.6,,Urban,0.0,Low,54.6,Remote,True,9.6,True,Low,37.0,49.33,Medium
52.1,Public Only,Urban,3.0,Moderate,39.7,Office,False,34.8,False,High,,49.6,Medium
74.6,Two-wheeler,Semi-Urban,3.0,Moderate,84.9,Office,False,32.6,True,Medium,10.0,32.79,Medium
34.6,,Urban,4.0,Low,76.0,,False,26.2,False,Medium,28.0,58.21,Medium
28.8,Two-wheeler,Semi-Urban,2.0,Low,42.8,Office,False,51.4,False,Medium,2.0,41.01,Medium
35.0,,Urban,2.0,Moderate,42.8,Remote,True,44.7,True,High,7.0,47.43,Medium
63.3,,Urban,3.0,Moderate,87.5,Office,False,78.5,True,,8.0,43.76,Medium
51.6,Car,Urban,1.0,Low,52.4,Remote,True,54.3,True,High,36.0,51.1,Medium
34.4,Two-wheeler,Semi-Urban,3.0,Low,52.7,Factory,False,70.2,False,Medium,33.0,56.4,Medium
,Car,Semi-Urban,1.0,Moderate,49.8,Remote,False,46.6,False,High,1.0,41.09,Medium
46.9,Car,Urban,2.0,Low,65.3,Office,False,32.4,False,Low,31.0,58.27,Medium
64.4,None,Urban,3.0,Moderate,39.0,Remote,False,62.4,False,Low,12.0,57.99,Medium
,Two-wheeler,Semi-Urban,3.0,Moderate,63.6,Remote,False,27.4,True,,24.0,27.53,Low
38.4,Two-wheeler,Rural,0.0,High,38.9,Factory,True,73.1,False,High,16.0,40.77,Medium
37.2,None,Urban,2.0,Moderate,39.0,Remote,False,35.0,False,,,40.72,Medium
15.7,,Semi-Urban,,Moderate,39.5,Remote,True,64.8,False,High,,49.17,Medium
50.9,Car,Urban,,Moderate,40.1,Fieldwork,False,57.5,True,Low,,62.35,Medium
50.2,None,Urban,,Moderate,70.8,Fieldwork,False,30.6,False,Medium,25.0,38.24,Medium
45.1,None,Urban,1.0,Moderate,70.8,Remote,False,74.2,False,Medium,36.0,36.62,Medium
,Public Only,Semi-Urban,0.0,Moderate,57.6,Remote,False,88.4,False,Low,4.0,25.64,Low
16.7,Car,Urban,1.0,High,50.5,Office,False,35.0,False,High,13.0,31.93,Medium
36.6,Public Only,Rural,4.0,High,80.7,Factory,False,36.9,True,High,37.0,39.73,Medium
,Two-wheeler,Semi-Urban,3.0,Moderate,70.4,,False,51.4,True,High,39.0,31.48,Medium
29.0,Public Only,Rural,3.0,High,42.3,Factory,False,67.4,False,Low,,50.28,Medium
41.8,None,Urban,4.0,Moderate,65.3,Fieldwork,False,74.5,False,High,4.0,50.78,Medium
53.1,,Urban,1.0,Moderate,64.5,Factory,False,42.8,True,High,,33.06,Medium
82.7,None,Rural,,Moderate,70.8,Office,False,52.8,False,Low,9.0,42.95,Medium
48.5,None,Semi-Urban,1.0,Low,100.0,Remote,False,43.0,True,High,14.0,28.87,Low
50.2,Public Only,Rural,2.0,High,47.7,Fieldwork,False,41.7,False,Low,,43.38,Medium
43.5,Public Only,Urban,2.0,Moderate,68.3,Remote,False,39.4,False,Low,36.0,40.78,Medium
6.6,Public Only,Urban,0.0,Moderate,82.4,Office,False,22.7,False,,23.0,18.59,Low
44.5,None,Semi-Urban,2.0,Moderate,85.8,Fieldwork,False,67.3,False,,38.0,43.97,Medium
46.2,None,Urban,2.0,Moderate,62.7,Fieldwork,False,52.0,False,Medium,20.0,41.08,Medium
,Car,Semi-Urban,2.0,Low,40.4,Fieldwork,False,80.5,True,Medium,30.0,73.61,High
41.2,Car,Urban,1.0,Low,33.1,Office,True,66.5,False,Medium,31.0,66.12,Medium
51.0,None,Urban,4.0,High,72.4,Fieldwork,False,42.0,False,High,2.0,47.62,Medium
44.3,,Urban,3.0,High,65.1,,False,27.2,False,High,16.0,46.25,Medium
21.6,Two-wheeler,Urban,,High,61.9,Factory,False,87.3,True,Low,11.0,45.78,Medium
67.9,Two-wheeler,Urban,3.0,Low,64.2,Remote,True,16.0,False,Medium,20.0,55.59,Medium
,None,Semi-Urban,4.0,Moderate,74.7,Remote,False,43.2,False,High,6.0,38.39,Medium
,Public Only,Urban,0.0,Moderate,68.2,Fieldwork,False,43.5,True,High,38.0,33.55,Medium
26.8,Two-wheeler,Urban,3.0,Moderate,65.8,Remote,False,37.1,False,High,,36.04,Medium
73.1,Two-wheeler,Rural,2.0,Moderate,51.1,Fieldwork,False,33.0,True,,22.0,37.32,Medium
17.0,Public Only,Urban,4.0,Low,75.6,Office,False,25.6,False,High,15.0,45.66,Medium
56.7,Car,Urban,1.0,Low,51.3,Factory,False,35.5,True,Medium,5.0,50.95,Medium
88.8,Public Only,Semi-Urban,1.0,Low,74.5,Factory,False,49.0,False,,5.0,52.2,Medium
25.2,Car,Rural,1.0,Moderate,54.1,Office,False,56.1,False,Medium,39.0,29.17,Low
33.7,Car,Urban,,,68.8,Fieldwork,False,39.5,False,High,8.0,45.61,Medium
47.0,Public Only,Urban,3.0,High,86.5,Remote,False,39.4,False,High,9.0,36.6,Medium
34.9,Car,Semi-Urban,2.0,Low,69.9,Remote,False,29.2,False,High,28.0,46.72,Medium
,Two-wheeler,Urban,1.0,,81.2,Fieldwork,False,53.4,False,Low,24.0,36.07,Medium
46.4,None,Semi-Urban,1.0,High,54.4,Fieldwork,True,51.0,False,Low,16.0,40.4,Medium
23.8,Car,Rural,0.0,Moderate,61.4,Fieldwork,True,57.6,True,High,40.0,31.76,Medium
54.5,Two-wheeler,Rural,3.0,Low,54.7,Factory,True,39.2,False,High,20.0,53.21,Medium
26.6,Public Only,Urban,5.0,Low,35.1,,False,31.8,False,Medium,12.0,69.05,Medium
76.0,Car,Urban,1.0,Moderate,76.0,Remote,False,49.6,False,Low,12.0,46.73,Medium
29.3,,Rural,3.0,Low,68.5,Fieldwork,True,60.4,False,High,27.0,52.65,Medium
38.6,,Urban,2.0,High,67.5,Office,True,32.3,False,Medium,34.0,48.43,Medium
61.3,Public Only,Urban,0.0,Moderate,78.5,Fieldwork,False,37.4,True,High,26.0,31.5,Medium
20.4,None,Semi-Urban,3.0,Moderate,43.0,Office,False,25.5,False,Medium,38.0,41.47,Medium
49.5,Car,Urban,2.0,Moderate,39.4,,True,26.6,False,Medium,31.0,65.84,Medium
,None,Urban,1.0,High,78.6,Fieldwork,True,39.1,False,Medium,29.0,47.11,Medium
12.9,Car,Rural,1.0,Moderate,58.9,Factory,True,33.2,False,Medium,17.0,36.4,Medium
48.7,Car,Urban,2.0,Moderate,63.2,,False,66.0,True,Low,,46.5,Medium
50.2,Public Only,Urban,3.0,High,38.0,Fieldwork,True,50.6,False,Medium,29.0,61.16,Medium
60.6,Car,Urban,2.0,High,82.1,Fieldwork,False,75.3,False,Medium,18.0,56.62,Medium
20.3,Two-wheeler,Semi-Urban,1.0,Low,70.1,Office,False,75.5,True,Medium,39.0,32.74,Medium
18.6,Two-wheeler,Urban,4.0,Low,51.4,Remote,False,50.3,False,Medium,9.0,44.88,Medium
55.4,None,Urban,1.0,Low,91.3,Remote,False,9.9,False,Low,19.0,44.32,Medium
50.9,None,Semi-Urban,5.0,Low,39.5,Office,False,58.0,False,,30.0,67.69,Medium
50.0,Two-wheeler,Rural,2.0,,55.1,Fieldwork,False,72.9,False,Low,5.0,39.09,Medium
51.9,None,Urban,0.0,Moderate,74.8,Fieldwork,False,62.6,False,Medium,8.0,35.52,Medium
,None,Rural,1.0,Moderate,77.3,Factory,False,57.0,True,Low,11.0,25.3,Low
,Two-wheeler,Urban,2.0,Low,37.6,Fieldwork,False,45.0,False,Low,9.0,61.95,Medium
50.9,Two-wheeler,Semi-Urban,3.0,High,55.7,Remote,False,26.4,False,Low,,40.49,Medium
30.7,Two-wheeler,Urban,,High,71.2,Remote,False,62.5,False,Medium,13.0,34.42,Medium
82.3,Public Only,Urban,0.0,Moderate,82.1,Fieldwork,False,46.1,False,Medium,22.0,38.97,Medium
54.5,Public Only,Semi-Urban,0.0,Moderate,80.8,Remote,False,56.2,True,Low,11.0,20.52,Low
21.2,Two-wheeler,Urban,2.0,Moderate,70.5,Fieldwork,False,38.3,False,Low,19.0,40.9,Medium
58.1,Car,Urban,1.0,Moderate,61.3,Factory,True,90.0,False,Medium,24.0,59.01,Medium
25.5,Two-wheeler,Urban,,Low,57.3,,False,54.8,False,,29.0,47.89,Medium
60.7,Public Only,Semi-Urban,2.0,Moderate,67.5,Remote,False,42.4,False,Low,25.0,37.45,Medium
68.2,None,Urban,2.0,Moderate,81.5,Remote,False,27.3,False,Medium,29.0,39.48,Medium
28.6,Car,Urban,0.0,Moderate,56.8,Office,False,22.0,False,,8.0,33.15,Medium
64.3,Car,Urban,0.0,Moderate,55.9,Factory,False,62.4,False,Low,13.0,53.71,Medium
53.3,,Urban,2.0,High,77.2,Office,True,38.4,True,,10.0,37.89,Medium
61.4,Car,Urban,2.0,Moderate,75.9,Fieldwork,False,41.0,False,Low,14.0,56.05,Medium
82.9,,Urban,2.0,Moderate,52.5,Fieldwork,False,39.1,False,Low,24.0,52.76,Medium
40.1,Public Only,Urban,3.0,High,40.2,Office,False,28.2,False,High,16.0,45.5,Medium
29.9,Car,Urban,1.0,Moderate,34.3,Office,False,44.2,False,High,11.0,42.81,Medium
27.2,,Semi-Urban,4.0,Moderate,62.0,Office,False,51.1,False,High,30.0,45.7,Medium
28.7,None,Semi-Urban,1.0,Moderate,43.4,Office,True,29.9,True,Medium,2.0,27.66,Low
43.5,None,Rural,0.0,Moderate,73.4,Office,False,56.6,True,Medium,34.0,13.76,Low
51.8,Public Only,Urban,,Low,34.2,,False,25.5,False,Low,40.0,65.18,Medium
50.5,None,Rural,1.0,Moderate,84.2,Factory,False,41.2,False,,15.0,33.85,Medium
61.5,None,Urban,4.0,High,54.9,Office,False,57.3,False,Medium,36.0,48.43,Medium
45.3,Public Only,Rural,2.0,Moderate,48.0,Factory,True,49.7,False,Low,13.0,50.33,Medium
74.1,,Urban,2.0,Moderate,51.9,Factory,False,17.2,False,Medium,5.0,45.14,Medium
39.7,Two-wheeler,Urban,3.0,Low,47.0,Fieldwork,False,0.0,False,,35.0,64.8,Medium
99.4,None,Urban,1.0,High,82.7,Remote,False,61.3,False,Medium,30.0,45.2,Medium
57.5,Public Only,Urban,3.0,Moderate,70.1,Factory,False,63.8,False,Low,21.0,58.37,Medium
,Two-wheeler,Rural,0.0,Moderate,61.5,Factory,False,58.7,True,Medium,8.0,15.26,Low
23.6,Public Only,Semi-Urban,2.0,Moderate,42.0,Factory,False,45.5,False,Low,7.0,45.41,Medium
54.6,None,Rural,0.0,Moderate,59.2,Factory,True,45.0,False,Medium,12.0,29.61,Low
40.5,None,Semi-Urban,0.0,Low,48.4,,False,47.9,False,,15.0,36.52,Medium
59.3,Public Only,Urban,1.0,Low,20.5,Remote,False,61.7,False,,19.0,53.89,Medium
54.5,Car,Urban,1.0,Low,49.6,Fieldwork,False,47.3,False,Medium,39.0,68.13,Medium
43.5,None,Rural,,Moderate,69.1,Office,False,57.5,True,,1.0,12.36,Low
28.1,None,Semi-Urban,2.0,Moderate,53.6,Fieldwork,False,76.3,False,Low,30.0,44.08,Medium
14.7,None,Semi-Urban,1.0,Moderate,57.8,Factory,True,30.7,True,Low,17.0,32.29,Medium
36.1,,Urban,2.0,,75.6,Fieldwork,False,46.3,True,Low,24.0,39.99,Medium
62.1,Public Only,Semi-Urban,,Low,72.9,Factory,False,32.8,False,Low,37.0,53.15,Medium
49.3,Public Only,Rural,1.0,Moderate,89.4,Fieldwork,False,42.1,False,High,29.0,29.9,Low
20.1,Public Only,Urban,2.0,Low,27.1,Fieldwork,False,48.0,True,Low,27.0,55.45,Medium
48.5,Public Only,Urban,1.0,Moderate,47.4,Fieldwork,False,32.4,False,Low,28.0,51.79,Medium
,,Urban,1.0,Moderate,73.6,Remote,False,17.5,True,High,11.0,33.53,Medium
27.3,Public Only,Semi-Urban,3.0,Low,66.5,Fieldwork,False,23.9,False,Medium,,50.16,Medium
,Public Only,Urban,1.0,Moderate,61.5,Remote,True,58.9,True,Medium,5.0,27.2,Low
46.2,None,Urban,3.0,Moderate,50.9,Remote,False,36.6,False,,19.0,38.23,Medium
22.1,Car,Urban,1.0,Moderate,63.4,Fieldwork,False,45.6,False,High,28.0,42.67,Medium
52.2,None,Semi-Urban,2.0,Moderate,62.5,Factory,False,51.0,False,High,28.0,40.89,Medium
56.2,Car,Urban,0.0,Low,32.2,Remote,False,68.1,False,Medium,7.0,55.65,Medium
,Two-wheeler,Urban,1.0,,63.2,Fieldwork,False,44.3,False,High,36.0,43.12,Medium
66.1,Car,Rural,2.0,High,52.2,,False,54.9,True,High,27.0,41.41,Medium
17.4,Car,Rural,,Moderate,72.6,Factory,True,27.4,False,High,22.0,38.1,Medium
26.2,None,Urban,0.0,Low,65.2,Remote,False,46.8,False,Low,,33.27,Medium
55.3,Car,Semi-Urban,2.0,Moderate,89.3,Factory,True,30.4,True,Low,10.0,51.58,Medium
55.3,Car,Semi-Urban,2.0,Low,60.0,Office,True,47.2,False,Low,40.0,61.35,Medium
,None,Urban,3.0,High,43.6,Remote,True,52.6,True,,24.0,49.63,Medium
122.1,Two-wheeler,Urban,1.0,High,22.7,Office,False,45.3,False,Low,37.0,59.36,Medium
56.4,Two-wheeler,Urban,1.0,Moderate,45.9,Fieldwork,True,41.5,False,Low,,56.93,Medium
,Two-wheeler,Urban,2.0,High,65.7,Remote,False,55.4,False,High,33.0,40.1,Medium
64.1,Car,Urban,2.0,Low,69.5,Remote,False,41.9,False,,13.0,53.67,Medium
58.0,None,Rural,2.0,Low,50.9,Factory,False,41.7,False,Medium,37.0,47.98,Medium
38.7,Two-wheeler,Urban,2.0,Moderate,53.5,Office,True,28.9,True,Low,7.0,34.77,Medium
60.2,Two-wheeler,Semi-Urban,,Moderate,61.0,Factory,False,60.1,False,Low,20.0,54.22,Medium
29.5,,Urban,3.0,Moderate,65.7,Fieldwork,False,49.2,False,Medium,26.0,43.63,Medium
40.3,Two-wheeler,Semi-Urban,1.0,Moderate,75.3,Factory,False,40.4,False,Medium,24.0,33.63,Medium
35.3,None,Urban,1.0,Low,51.2,Factory,False,29.2,False,High,,46.96,Medium
46.6,Two-wheeler,Semi-Urban,3.0,High,48.9,Factory,True,96.7,False,High,26.0,61.77,Medium
,Car,Semi-Urban,3.0,Low,90.4,Remote,False,0.0,False,High,32.0,61.89,Medium
7.7,Car,Semi-Urban,2.0,Moderate,86.7,Fieldwork,False,34.8,False,High,40.0,42.23,Medium
58.7,None,Urban,2.0,Low,52.1,Fieldwork,False,40.4,True,Medium,40.0,51.3,Medium
12.7,Public Only,Semi-Urban,3.0,Low,77.1,Factory,False,68.4,True,,17.0,45.26,Medium
35.6,Two-wheeler,Rural,2.0,Low,93.1,Remote,True,43.7,False,Medium,33.0,38.83,Medium
66.8,Two-wheeler,Semi-Urban,,Moderate,79.8,Remote,False,53.6,False,Low,35.0,40.29,Medium
46.3,,Urban,3.0,Moderate,48.6,Factory,True,41.2,False,Medium,39.0,72.9,High
,None,Semi-Urban,1.0,Moderate,61.6,Fieldwork,False,86.9,False,Medium,31.0,34.55,Medium
30.7,Public Only,Urban,3.0,Moderate,33.7,Remote,False,57.9,False,Low,20.0,48.99,Medium
58.6,Car,Rural,,High,45.5,Office,False,37.0,False,Low,16.0,39.91,Medium
30.4,Public Only,Semi-Urban,3.0,Low,59.8,Office,False,64.1,False,High,6.0,42.0,Medium
,None,Urban,1.0,Low,63.3,Fieldwork,False,45.1,False,Medium,12.0,44.66,Medium
45.9,None,Urban,4.0,Moderate,49.6,Fieldwork,False,86.5,True,Medium,39.0,62.17,Medium
32.0,None,Urban,2.0,Moderate,18.7,Fieldwork,True,77.0,False,High,17.0,55.79,Medium
87.9,,Rural,,Low,62.9,Office,True,55.9,False,Medium,1.0,55.77,Medium
57.7,None,Urban,2.0,Moderate,70.9,Office,False,45.3,False,High,8.0,33.88,Medium
4.5,Car,Urban,1.0,Moderate,71.5,Remote,False,37.3,False,Medium,7.0,28.7,Low
48.7,Car,Rural,2.0,Moderate,56.9,Fieldwork,False,67.6,False,,10.0,44.19,Medium
31.8,,Urban,3.0,Moderate,58.0,Remote,True,79.0,False,High,24.0,45.44,Medium
62.0,Car,Urban,3.0,,63.7,Office,True,44.2,False,Medium,26.0,55.62,Medium
29.1,Car,Semi-Urban,1.0,,66.1,Office,False,59.0,True,Medium,3.0,23.48,Low
42.7,Two-wheeler,Urban,,Low,58.6,Office,False,60.1,False,Medium,34.0,44.72,Medium
55.1,Public Only,Urban,1.0,Moderate,25.2,Office,False,67.8,False,Medium,34.0,46.93,Medium
62.3,Two-wheeler,Urban,6.0,Low,81.0,Remote,False,34.4,False,Medium,23.0,64.02,Medium
21.0,Two-wheeler,Semi-Urban,3.0,Moderate,53.0,Office,False,58.9,False,Medium,35.0,32.16,Medium
38.3,None,Rural,2.0,High,41.6,Office,True,94.9,True,High,15.0,36.12,Medium
35.5,None,Urban,1.0,Low,54.1,Fieldwork,False,51.9,True,Medium,1.0,35.8,Medium
31.9,Two-wheeler,Urban,0.0,Moderate,61.7,Factory,False,59.1,False,,9.0,29.48,Low
80.3,None,Urban,2.0,High,50.9,Factory,False,57.6,False,High,9.0,46.96,Medium
53.1,Two-wheeler,Rural,0.0,Moderate,51.9,Remote,False,61.1,True,High,32.0,19.56,Low
19.8,None,Urban,2.0,Moderate,55.1,Office,False,26.9,False,Medium,19.0,29.1,Low
63.4,Car,Rural,0.0,High,65.4,Office,False,91.0,False,Low,27.0,38.27,Medium
87.4,,Urban,2.0,,48.0,Factory,False,52.0,False,Medium,27.0,69.2,Medium
65.6,None,Rural,1.0,Low,65.1,Office,False,60.9,False,Medium,11.0,35.83,Medium
14.6,,Semi-Urban,2.0,High,39.3,Fieldwork,False,51.8,False,Low,40.0,56.79,Medium
35.3,Two-wheeler,Semi-Urban,3.0,,90.1,Office,False,68.9,False,High,27.0,46.61,Medium
70.3,None,Urban,3.0,,76.1,Office,False,40.0,False,High,,43.06,Medium
30.8,None,Semi-Urban,,Moderate,55.9,Factory,True,23.9,False,,14.0,34.62,Medium
53.9,,Urban,3.0,High,65.0,Factory,True,47.6,False,Medium,22.0,62.34,Medium
60.5,Car,Urban,2.0,Moderate,42.5,Office,False,59.6,False,,6.0,51.79,Medium
26.5,Car,Urban,3.0,Moderate,68.4,Office,False,43.1,False,Low,26.0,49.3,Medium
,Public Only,Rural,1.0,Moderate,72.7,,True,36.6,True,,3.0,21.64,Low
0.0,Car,Semi-Urban,1.0,,64.0,Office,True,57.0,True,High,2.0,31.45,Medium
24.5,Two-wheeler,Semi-Urban,3.0,Low,73.5,Remote,True,31.4,False,,38.0,51.09,Medium
39.9,None,Semi-Urban,2.0,Moderate,59.9,Factory,False,69.6,True,Medium,35.0,39.97,Medium
20.0,None,Urban,5.0,High,58.5,Fieldwork,False,43.8,True,Medium,24.0,46.03,Medium
77.6,Public Only,Rural,4.0,Moderate,50.1,,False,59.9,True,High,23.0,35.65,Medium
16.4,None,Semi-Urban,1.0,High,68.3,Remote,False,26.8,False,Medium,12.0,18.37,Low
36.2,None,Semi-Urban,1.0,High,47.5,Remote,False,77.1,False,High,4.0,33.79,Medium
