student_id,age,gender,ethnicity,major,gpa_current,gpa_history,attendance_rate,enrollment_gap_months,credits_completed,financial_aid_status,academic_warning_count,advisor_meeting_count,advising_notes,counseling_notes,gpa_by_semester,attendance_by_semester,dropout_risk,next_semester_dropout,dropout_type,dropout_duration,dropout_cause
S1029,23,Female,White,Electrical Engineering,3.62,3.2,0.92,3,33,True,1,4,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.42, 2.32, 1.87, 2.26]","[0.94, 1.0, 0.68, 0.72]",True,True,Transfer,2,Financial
S1030,25,Male,Black,Psychology,2.04,1.97,0.83,3,40,False,1,5,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.39, 3.49, 1.73, 2.97]","[0.74, 0.82, 0.53, 0.79]",False,False,None,0,None
S1031,24,Other,Other,Business,3.26,3.23,0.74,3,101,True,2,3,Student discussed academic goals and current challenges.,,"[3.56, 2.75, 1.69, 1.65]","[0.67, 0.89, 0.85, 0.89]",False,False,None,0,None
S1032,20,Female,Black,Business,2.6,2.53,0.66,0,37,True,3,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.0, 3.34, 4.0, 3.83]","[0.82, 0.71, 0.82, 0.89]",True,True,Permanent,0,Academic
S1033,28,Male,Other,Business,3.21,2.71,0.87,0,109,False,0,0,Student discussed academic goals and current challenges.,,"[2.91, 3.95, 1.91, 3.25]","[0.79, 0.79, 0.85, 0.96]",True,False,Permanent,0,Academic
S1034,20,Male,Other,Business,3.85,3.72,0.71,0,88,True,3,4,Student discussed academic goals and current challenges.,,"[2.7, 2.59, 3.84, 3.27]","[0.82, 0.52, 0.95, 0.95]",False,False,None,0,None
S1035,25,Male,Asian,Business,3.32,2.94,0.58,1,79,True,2,3,Student discussed academic goals and current challenges.,,"[3.14, 3.89, 1.67, 1.64]","[0.64, 0.63, 0.62, 0.95]",False,False,None,0,None
S1036,25,Male,Hispanic,Psychology,3.94,3.75,0.71,0,96,False,3,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.72, 1.58, 1.66, 3.77]","[0.57, 0.77, 0.71, 0.67]",False,False,None,0,None
S1037,19,Male,Black,Electrical Engineering,3.33,3.06,0.56,2,61,False,3,5,Student discussed academic goals and current challenges.,,"[3.33, 3.95, 2.14, 3.14]","[0.6, 0.78, 0.73, 0.99]",False,False,None,0,None
S1038,29,Male,Black,Computer Science,2.37,2.31,0.58,1,90,False,2,0,Student discussed academic goals and current challenges.,,"[2.81, 1.79, 3.65, 3.31]","[0.53, 0.85, 0.77, 0.54]",False,False,None,0,None
S1039,23,Other,Other,Electrical Engineering,3.62,3.41,0.57,3,76,False,1,1,Student discussed academic goals and current challenges.,,"[3.65, 2.65, 3.37, 2.23]","[0.89, 0.56, 0.68, 0.99]",False,False,None,0,None
S1040,20,Female,White,Biology,3.47,3.37,0.63,1,45,True,3,5,Student discussed academic goals and current challenges.,,"[3.39, 1.54, 1.82, 3.15]","[0.58, 0.63, 0.97, 0.78]",False,False,None,0,None
S1041,29,Other,Asian,Biology,3.43,3.42,0.53,3,22,False,3,0,Student discussed academic goals and current challenges.,,"[2.48, 3.5, 2.43, 2.63]","[0.7, 0.55, 0.72, 0.6]",True,False,Transfer,2,Financial
S1042,25,Female,Asian,Electrical Engineering,2.22,1.82,0.79,2,91,True,0,5,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.83, 1.89, 3.24, 3.48]","[0.66, 0.93, 0.95, 0.64]",False,False,None,0,None
S1043,25,Male,Asian,Psychology,2.77,2.47,0.52,2,51,False,3,2,Student discussed academic goals and current challenges.,,"[2.28, 3.5, 3.92, 3.64]","[0.56, 0.87, 0.66, 0.99]",False,False,None,0,None
S1044,24,Female,Asian,Electrical Engineering,1.81,1.45,0.66,1,114,True,2,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.22, 1.73, 1.57, 3.56]","[0.6, 0.69, 0.99, 0.67]",True,False,Temporary,1,Financial
S1045,21,Female,Other,Electrical Engineering,3.8,3.74,0.88,0,30,False,2,3,Student discussed academic goals and current challenges.,,"[2.65, 2.39, 2.74, 3.57]","[0.67, 0.59, 0.86, 0.91]",False,False,None,0,None
S1046,18,Other,Black,Business,2.1,2.03,0.67,0,77,True,0,5,Student discussed academic goals and current challenges.,,"[3.35, 3.52, 3.61, 2.13]","[0.52, 0.87, 0.55, 0.66]",True,True,Permanent,0,Mental Health
S1047,25,Female,Asian,Psychology,1.67,1.58,0.93,1,20,False,2,2,Student discussed academic goals and current challenges.,,"[3.24, 2.78, 2.26, 2.03]","[0.52, 0.65, 0.83, 0.97]",False,False,None,0,None
S1048,29,Female,Other,Biology,2.08,1.68,0.53,0,116,False,2,2,Student discussed academic goals and current challenges.,,"[2.9, 1.78, 2.62, 2.65]","[0.93, 0.77, 0.69, 0.99]",True,True,Permanent,0,Mental Health
S1049,28,Other,White,Computer Science,2.56,2.54,0.87,0,106,False,3,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.23, 3.78, 3.38, 3.51]","[0.51, 0.98, 0.86, 0.65]",False,False,None,0,None
S1050,24,Other,Other,Computer Science,2.83,2.51,0.72,3,72,True,3,0,Student discussed academic goals and current challenges.,,"[2.1, 1.53, 2.67, 2.25]","[0.8, 0.65, 0.65, 0.87]",False,False,None,0,None
S1051,21,Female,Other,Computer Science,1.66,1.22,0.94,2,105,True,3,4,Student discussed academic goals and current challenges.,,"[3.6, 2.21, 2.57, 2.17]","[0.89, 0.79, 0.83, 0.63]",True,True,Permanent,0,Mental Health
S1052,22,Male,Other,Psychology,3.0,2.94,0.55,2,28,False,2,0,Student discussed academic goals and current challenges.,,"[1.66, 3.89, 1.56, 3.24]","[0.54, 0.96, 0.73, 0.57]",False,False,None,0,None
S1053,20,Male,Hispanic,Business,3.73,3.51,0.8,0,57,False,0,4,Student discussed academic goals and current challenges.,,"[3.1, 3.19, 1.83, 2.09]","[0.89, 0.99, 0.63, 0.64]",False,False,None,0,None
S1054,28,Male,Black,Business,3.36,3.11,0.82,3,105,True,1,0,Student discussed academic goals and current challenges.,,"[1.6, 3.01, 3.77, 2.1]","[0.73, 0.73, 0.74, 0.81]",False,False,None,0,None
S1055,20,Other,Hispanic,Biology,2.62,2.38,0.8,2,68,False,0,5,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.58, 3.61, 2.21, 2.66]","[0.72, 0.61, 0.7, 0.52]",True,True,Temporary,1,Other
S1056,26,Other,Asian,Biology,3.54,3.4,0.91,2,70,True,2,0,Student discussed academic goals and current challenges.,,"[1.57, 3.19, 1.61, 2.63]","[0.96, 0.58, 0.69, 0.86]",True,True,Transfer,1,Other
S1057,22,Other,Hispanic,Computer Science,2.15,1.81,0.65,0,111,False,0,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.09, 1.63, 2.14, 1.65]","[0.8, 0.84, 0.56, 0.69]",False,False,None,0,None
S1058,21,Female,Hispanic,Psychology,2.42,2.36,0.71,1,116,False,1,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.39, 3.85, 3.17, 3.2]","[0.68, 0.8, 0.51, 0.82]",False,False,None,0,None
S1059,23,Other,Black,Electrical Engineering,1.79,1.71,0.59,3,46,True,1,4,Student discussed academic goals and current challenges.,,"[1.67, 2.83, 1.86, 1.53]","[0.71, 0.65, 0.74, 0.79]",True,True,Temporary,2,Academic
S1060,22,Female,Asian,Electrical Engineering,1.81,1.53,0.67,0,57,False,0,5,Student discussed academic goals and current challenges.,,"[3.63, 2.51, 1.69, 2.86]","[0.93, 0.8, 0.61, 0.69]",False,False,None,0,None
S1061,20,Other,White,Psychology,3.64,3.18,0.72,0,67,False,1,2,Student discussed academic goals and current challenges.,,"[3.0, 3.26, 3.22, 2.44]","[0.58, 0.72, 0.57, 0.95]",False,False,None,0,None
S1062,18,Male,Hispanic,Biology,3.87,3.7,0.76,0,111,True,2,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.52, 2.28, 3.19, 3.01]","[0.68, 0.61, 0.99, 0.73]",True,True,Transfer,1,Financial
S1063,19,Male,White,Psychology,2.71,2.7,0.75,0,64,False,1,2,Student discussed academic goals and current challenges.,,"[2.02, 3.81, 2.54, 2.49]","[0.66, 0.57, 0.74, 0.57]",False,False,None,0,None
S1064,27,Female,Asian,Business,1.79,1.31,0.66,3,87,False,3,0,Student discussed academic goals and current challenges.,,"[3.96, 2.22, 3.9, 2.47]","[0.69, 0.67, 0.77, 0.58]",False,False,None,0,None
S1065,18,Other,Hispanic,Electrical Engineering,2.83,2.75,0.62,0,22,False,1,4,Student discussed academic goals and current challenges.,,"[1.99, 1.64, 2.36, 2.18]","[0.98, 0.78, 0.67, 0.79]",False,False,None,0,None
S1066,25,Female,Other,Biology,4.0,3.92,0.91,1,70,True,0,2,Student discussed academic goals and current challenges.,,"[3.7, 3.06, 2.92, 3.05]","[0.6, 0.7, 0.52, 0.74]",False,False,None,0,None
S1067,21,Male,Black,Biology,3.77,3.7,0.8,0,30,False,0,3,Student discussed academic goals and current challenges.,,"[1.59, 3.36, 2.87, 1.64]","[0.84, 0.73, 0.52, 0.98]",False,False,None,0,None
S1068,20,Female,Asian,Business,2.66,2.17,0.74,3,74,False,3,5,Student discussed academic goals and current challenges.,,"[2.81, 2.91, 2.6, 3.01]","[0.96, 0.68, 0.86, 0.95]",False,False,None,0,None
S1069,28,Female,Hispanic,Electrical Engineering,2.52,2.11,0.88,1,26,True,2,0,Student discussed academic goals and current challenges.,,"[1.65, 1.51, 3.1, 2.25]","[0.62, 0.66, 0.63, 0.52]",True,True,Transfer,3,Mental Health
S1070,24,Male,Hispanic,Computer Science,1.55,1.31,0.84,0,86,False,1,1,Student discussed academic goals and current challenges.,,"[3.08, 3.11, 3.55, 2.33]","[0.87, 0.76, 0.9, 1.0]",False,False,None,0,None
S1071,19,Other,Black,Psychology,3.19,2.78,0.65,0,84,False,0,4,Student discussed academic goals and current challenges.,,"[3.35, 1.86, 3.38, 3.42]","[0.83, 0.88, 0.92, 0.81]",False,False,None,0,None
S1072,25,Male,Hispanic,Business,2.5,2.14,0.64,1,49,True,1,2,Student discussed academic goals and current challenges.,,"[2.37, 1.78, 3.52, 3.87]","[0.54, 0.98, 0.76, 0.65]",False,False,None,0,None
S1073,25,Other,Asian,Business,1.78,1.36,0.62,3,79,False,1,1,Student discussed academic goals and current challenges.,,"[2.51, 2.24, 2.08, 2.2]","[0.9, 0.96, 0.7, 0.95]",False,False,None,0,None
S1074,24,Female,White,Psychology,2.69,2.58,0.82,2,32,True,2,4,Student discussed academic goals and current challenges.,,"[2.54, 3.4, 1.97, 3.3]","[0.93, 0.73, 0.91, 0.78]",True,True,Transfer,2,Mental Health
S1075,19,Male,Asian,Psychology,3.28,2.87,0.9,3,49,True,3,4,Student discussed academic goals and current challenges.,,"[3.79, 3.3, 2.5, 1.9]","[0.94, 0.91, 0.86, 0.64]",False,False,None,0,None
S1076,18,Other,Asian,Psychology,2.29,2.29,0.76,0,37,False,1,5,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.74, 2.96, 2.67, 2.35]","[0.97, 0.54, 0.97, 0.91]",True,True,Permanent,0,Academic
S1077,28,Female,White,Business,2.18,1.76,0.66,1,101,True,2,4,Student discussed academic goals and current challenges.,,"[2.56, 2.44, 3.84, 3.19]","[0.56, 0.52, 0.78, 0.97]",True,True,Transfer,1,Financial
S1078,25,Male,Black,Computer Science,3.19,3.12,0.63,0,32,True,0,3,Student discussed academic goals and current challenges.,,"[1.82, 3.19, 3.86, 2.17]","[0.74, 0.82, 1.0, 0.55]",False,False,None,0,None
S1079,23,Other,Black,Psychology,3.89,3.64,0.72,0,97,True,3,0,Student discussed academic goals and current challenges.,,"[1.63, 3.42, 2.54, 3.56]","[0.93, 0.61, 0.83, 0.74]",True,True,Permanent,0,Other
S1080,25,Female,Asian,Psychology,3.12,2.72,0.88,2,53,True,3,3,Student discussed academic goals and current challenges.,,"[3.35, 2.29, 3.11, 2.49]","[0.86, 0.6, 0.95, 0.64]",False,False,None,0,None
S1081,20,Male,Asian,Psychology,3.17,2.76,0.89,2,63,True,0,1,Student discussed academic goals and current challenges.,,"[1.54, 2.45, 2.34, 1.55]","[0.56, 0.71, 0.75, 0.7]",False,False,None,0,None
S1082,18,Female,Hispanic,Business,3.77,3.64,0.86,0,119,False,3,1,Student discussed academic goals and current challenges.,,"[3.19, 2.28, 3.43, 3.43]","[0.76, 0.99, 0.56, 0.51]",False,False,None,0,None
S1083,28,Female,Hispanic,Computer Science,2.46,2.28,0.59,2,44,True,2,1,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.06, 3.1, 2.93, 2.92]","[0.83, 0.77, 0.94, 0.84]",False,False,None,0,None
S1084,28,Other,White,Business,3.57,3.27,0.65,2,105,True,3,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.28, 3.84, 3.01, 2.68]","[0.53, 0.84, 0.79, 1.0]",False,False,None,0,None
S1085,24,Female,White,Computer Science,3.46,2.96,0.77,1,41,True,0,2,Student discussed academic goals and current challenges.,,"[3.31, 3.05, 3.74, 3.62]","[0.66, 0.64, 0.99, 0.76]",False,False,None,0,None
S1086,21,Other,Asian,Biology,2.47,2.13,0.63,0,66,False,1,5,Student discussed academic goals and current challenges.,,"[2.67, 3.73, 3.27, 1.66]","[0.57, 0.5, 0.82, 0.72]",False,False,None,0,None
S1087,23,Female,Black,Biology,2.54,2.39,0.88,2,40,False,0,5,Student discussed academic goals and current challenges.,,"[2.19, 3.52, 2.65, 2.87]","[0.72, 0.52, 0.58, 0.72]",True,True,Permanent,0,Financial
S1088,29,Other,Asian,Computer Science,3.74,3.4,0.57,0,96,False,2,3,Student discussed academic goals and current challenges.,,"[3.15, 1.77, 3.09, 2.75]","[0.7, 0.98, 0.76, 0.61]",False,False,None,0,None
S1089,22,Other,White,Electrical Engineering,2.59,2.29,0.54,3,101,False,1,3,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.57, 3.33, 2.39, 3.25]","[0.7, 0.98, 0.98, 0.7]",True,False,Temporary,2,Financial
S1090,25,Male,Other,Business,3.43,3.28,0.62,0,58,True,2,3,Student discussed academic goals and current challenges.,,"[2.91, 3.43, 2.75, 1.53]","[0.5, 0.68, 0.96, 0.61]",False,False,None,0,None
S1091,28,Male,White,Psychology,1.62,1.22,0.59,0,41,True,2,0,Student discussed academic goals and current challenges.,,"[2.51, 3.74, 1.5, 3.75]","[0.58, 1.0, 0.98, 0.75]",True,False,Temporary,1,Other
S1092,24,Male,Black,Electrical Engineering,2.43,2.23,0.88,0,118,True,2,2,Student discussed academic goals and current challenges.,,"[2.19, 3.06, 3.98, 2.47]","[0.79, 0.71, 0.92, 0.95]",False,False,None,0,None
S1093,27,Female,Other,Business,3.8,3.75,0.75,0,60,True,0,1,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.89, 1.87, 3.2, 2.06]","[0.72, 0.86, 0.78, 0.71]",False,False,None,0,None
S1094,29,Female,Other,Computer Science,3.4,3.26,0.68,0,59,True,0,5,Student discussed academic goals and current challenges.,,"[3.45, 2.69, 2.74, 2.01]","[0.8, 0.59, 0.67, 0.93]",False,False,None,0,None
S1095,29,Other,White,Biology,3.09,2.91,0.65,0,56,True,2,2,Student discussed academic goals and current challenges.,,"[3.59, 2.33, 3.23, 3.43]","[0.83, 0.58, 0.94, 0.77]",False,False,None,0,None
S1096,25,Female,Asian,Electrical Engineering,2.23,1.76,0.7,2,81,True,0,4,Student discussed academic goals and current challenges.,,"[2.54, 2.81, 1.64, 3.93]","[0.61, 0.65, 0.65, 0.62]",False,False,None,0,None
S1097,20,Other,White,Biology,1.63,1.53,0.66,0,55,True,0,4,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.4, 3.02, 3.74, 3.55]","[0.63, 0.64, 0.56, 0.67]",True,False,Transfer,3,Mental Health
S1098,23,Other,Hispanic,Computer Science,2.51,2.4,0.88,3,40,False,0,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.54, 3.38, 1.55, 2.17]","[0.76, 0.63, 0.81, 0.74]",False,False,None,0,None
S1099,18,Female,Hispanic,Computer Science,3.0,2.85,0.86,2,84,True,0,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.42, 3.83, 3.57, 3.24]","[0.86, 0.73, 0.96, 0.85]",False,False,None,0,None
S1100,24,Male,Hispanic,Psychology,3.63,3.46,0.52,0,112,True,0,5,Student discussed academic goals and current challenges.,,"[2.34, 3.95, 3.64, 3.25]","[0.86, 0.78, 0.97, 0.75]",False,False,None,0,None
S1101,20,Other,Other,Psychology,2.71,2.46,0.69,1,37,True,2,2,Student discussed academic goals and current challenges.,,"[3.6, 1.53, 3.26, 3.93]","[0.72, 0.62, 0.85, 0.91]",False,False,None,0,None
S1102,26,Female,Asian,Psychology,2.84,2.57,0.71,2,46,False,1,4,Student discussed academic goals and current challenges.,,"[3.9, 3.29, 3.88, 2.07]","[0.94, 0.9, 0.84, 0.81]",False,False,None,0,None
S1103,19,Female,Asian,Business,3.68,3.34,0.9,3,75,True,2,1,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.58, 3.77, 1.53, 3.19]","[0.53, 0.77, 0.64, 0.65]",False,False,None,0,None
S1104,28,Male,White,Computer Science,2.53,2.06,0.72,1,97,True,1,2,Student discussed academic goals and current challenges.,,"[2.39, 1.71, 2.33, 3.19]","[0.54, 0.6, 0.69, 0.99]",False,False,None,0,None
S1105,21,Other,White,Computer Science,3.18,2.86,0.6,0,73,True,3,3,Student discussed academic goals and current challenges.,,"[2.19, 2.19, 2.58, 3.95]","[0.53, 0.76, 0.59, 0.99]",True,True,Permanent,0,Academic
S1106,22,Other,Black,Biology,3.95,3.67,0.59,1,60,True,2,0,Student discussed academic goals and current challenges.,,"[2.49, 2.16, 2.01, 2.71]","[0.63, 0.64, 0.83, 0.98]",True,True,Temporary,3,Financial
S1107,24,Male,Other,Electrical Engineering,1.69,1.65,0.98,0,60,False,3,3,Student discussed academic goals and current challenges.,,"[2.65, 1.73, 2.88, 3.1]","[0.85, 0.69, 0.78, 0.73]",False,False,None,0,None
S1108,23,Male,White,Electrical Engineering,2.28,2.14,0.8,2,87,True,2,1,Student discussed academic goals and current challenges.,,"[2.62, 3.03, 2.03, 3.85]","[0.5, 0.89, 0.81, 0.69]",False,False,None,0,None
S1109,29,Female,Black,Electrical Engineering,3.07,2.88,0.97,0,55,True,0,1,Student discussed academic goals and current challenges.,,"[2.5, 3.6, 1.97, 3.18]","[0.99, 0.55, 0.5, 0.72]",False,False,None,0,None
S1110,20,Male,Asian,Electrical Engineering,3.73,3.69,0.9,1,112,True,0,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[1.52, 2.97, 3.03, 3.09]","[0.62, 0.86, 0.55, 0.6]",False,False,None,0,None
S1111,24,Male,Other,Business,1.63,1.17,0.51,0,88,True,3,1,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[1.66, 2.65, 3.33, 3.02]","[0.84, 0.54, 0.98, 0.92]",True,True,Permanent,0,Academic
S1112,23,Other,Asian,Psychology,2.46,2.21,0.64,3,22,False,1,0,Student discussed academic goals and current challenges.,,"[2.13, 3.97, 2.23, 3.43]","[0.71, 0.6, 0.9, 0.67]",False,False,None,0,None
S1113,29,Other,Asian,Psychology,2.42,1.97,0.83,0,104,False,0,1,Student discussed academic goals and current challenges.,,"[2.12, 3.26, 2.57, 2.61]","[0.82, 0.97, 0.53, 0.91]",False,False,None,0,None
S1114,23,Male,Other,Business,3.46,3.16,0.6,3,26,True,2,5,Student discussed academic goals and current challenges.,,"[1.57, 2.03, 2.2, 3.28]","[0.51, 0.7, 0.96, 0.56]",False,False,None,0,None
S1115,22,Male,Hispanic,Psychology,3.47,3.0,0.87,0,66,False,2,2,Student discussed academic goals and current challenges.,,"[3.51, 1.52, 3.81, 2.61]","[0.78, 0.63, 0.87, 0.54]",True,False,Permanent,0,Academic
S1116,25,Male,White,Biology,3.47,3.32,0.96,2,55,False,1,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.76, 3.85, 3.69, 1.76]","[0.7, 0.78, 0.75, 0.6]",True,False,Transfer,2,Mental Health
S1117,22,Female,Other,Biology,3.19,2.77,0.93,0,49,True,2,5,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.24, 2.65, 2.53, 3.3]","[0.69, 0.74, 0.71, 0.87]",False,False,None,0,None
S1118,22,Female,Asian,Computer Science,3.3,2.93,0.76,3,52,False,0,5,Student discussed academic goals and current challenges.,,"[1.91, 3.73, 2.1, 2.39]","[0.55, 0.61, 0.76, 0.8]",False,False,None,0,None
